JOB_ID,TITLE,COMPANY,COUNTRY,SOURCE,URL,SALARY_MIN,SALARY_MAX,POSTED_DATE,COLLECTED_DATE
adzuna_5823562275,Data Analyst,Solirius Reply,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5823562275?se=PLl8cYeS8RGht6FEOOV3rg&utm_medium=api&utm_source=8413080e&v=54831A28DC8D23A08D643D69753ECA08C359BD43,59407.18,59407.18,2026-08-01,2026-08-07
adzuna_5789988738,Data Analyst,Opencast Software,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5789988738?se=PLl8cYeS8RGht6FEOOV3rg&utm_medium=api&utm_source=8413080e&v=3D7CD051C0291A8413B9A21BAEF6A325045DC66C,49983.61,49983.61,2026-07-06,2026-08-07
adzuna_5814310276,Finance Data Analyst,Marc Daniels,gb,adzuna,https://www.adzuna.co.uk/jobs/details/5814310276?utm_medium=api&utm_source=8413080e,60000.0,70000.0,2026-07-24,2026-08-07
adzuna_5822588059,Finance Data Analyst,Michael Page Finance,gb,adzuna,https://www.adzuna.co.uk/jobs/details/5822588059?utm_medium=api&utm_source=8413080e,29000.0,34000.0,2026-07-31,2026-08-07
adzuna_5822590327,Commissions Data Analyst,Santander Consumer Finance,gb,adzuna,https://www.adzuna.co.uk/jobs/details/5822590327?utm_medium=api&utm_source=8413080e,38267.85,38267.85,2026-07-31,2026-08-07
adzuna_5814154911,Master Data Analyst,We Do Group,gb,adzuna,https://www.adzuna.co.uk/jobs/details/5814154911?utm_medium=api&utm_source=8413080e,34000.0,38000.0,2026-07-24,2026-08-07
adzuna_5807302172,DATA ANALYST,EverIT Solutions Limited,gb,adzuna,https://www.adzuna.co.uk/jobs/details/5807302172?utm_medium=api&utm_source=8413080e,31000.0,31000.0,2026-07-19,2026-08-07
adzuna_5828117185,Finance Data Analyst,Gibson Hollyhomes,gb,adzuna,https://www.adzuna.co.uk/jobs/details/5828117185?utm_medium=api&utm_source=8413080e,30000.0,40000.0,2026-08-04,2026-08-07
adzuna_5829585484,Finance Data Analyst,Orka Financial,gb,adzuna,https://www.adzuna.co.uk/jobs/details/5829585484?utm_medium=api&utm_source=8413080e,30000.0,35000.0,2026-08-05,2026-08-07
adzuna_5829131575,Supply Chain Data Analyst,Airbus,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5829131575?se=RB1Qc4eS8RG9ks23jnlnsA&utm_medium=api&utm_source=8413080e&v=CCD51D99E979295B8134CA977648306F64A4D277,37059.11,37059.11,2026-08-05,2026-08-07
adzuna_5811205837,Data Analyst,Harnham - Data & Analytics Recruitment,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5811205837?se=RB1Qc4eS8RG9ks23jnlnsA&utm_medium=api&utm_source=8413080e&v=85D2F37B5568ACA9058E650382B37A1DEF0C3591,50000.0,55000.0,2026-07-22,2026-08-07
adzuna_5814229171,Data Analyst,AWD online,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5814229171?se=RB1Qc4eS8RG9ks23jnlnsA&utm_medium=api&utm_source=8413080e&v=25A50756B50196CB9B5475F2BA8020E0A62FB778,28505.0,34613.0,2026-07-24,2026-08-07
adzuna_5810670554,Trainee Data Analyst,ITOL Recruit,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5810670554?se=RB1Qc4eS8RG9ks23jnlnsA&utm_medium=api&utm_source=8413080e&v=1FC97A8EA3E0467912C395C14E01FF64EC817AD2,30000.0,50000.0,2026-07-22,2026-08-07
adzuna_5810671047,Data Analyst Trainee,ITOL Recruit,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5810671047?se=RB1Qc4eS8RG9ks23jnlnsA&utm_medium=api&utm_source=8413080e&v=4D95B6345E213527270BB863D485C16645C19FC9,30000.0,50000.0,2026-07-22,2026-08-07
adzuna_5807960992,Data Analyst Trainee,ITOL Recruit,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5807960992?se=RB1Qc4eS8RG9ks23jnlnsA&utm_medium=api&utm_source=8413080e&v=775000AE023FE1AD7E56EF2B90C945250A999CE3,30000.0,50000.0,2026-07-20,2026-08-07
adzuna_5807966369,Data Analyst Trainee,ITOL Recruit,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5807966369?se=RB1Qc4eS8RG9ks23jnlnsA&utm_medium=api&utm_source=8413080e&v=BF7A0FD46B57C1123656FF95792BCC1847D73A6C,30000.0,50000.0,2026-07-20,2026-08-07
adzuna_5809349019,Data Analyst Trainee,ITOL Recruit,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5809349019?se=RB1Qc4eS8RG9ks23jnlnsA&utm_medium=api&utm_source=8413080e&v=38DB3E4AD8DC9E92491E4C7C880A1F8F989F1138,30000.0,50000.0,2026-07-21,2026-08-07
adzuna_5826618703,Business Analyst,FDM Group,gb,adzuna,https://www.adzuna.co.uk/jobs/details/5826618703?utm_medium=api&utm_source=8413080e,36435.77,36435.77,2026-08-03,2026-08-07
